SourcePort,DestinationPort,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
61100,53,0.002,70,34999.98250000875,70,34999.98250000875,0.0,0.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
443,52773,6.501,2474,380.5568373510911,550,84.6023688533145,14847.74736842105,121.85133305967994,151.2,151.2,206.16666666666669,0.0,0.0,0.8058950599131883,462062.6959064328,679.7519370376467,342.1578947368421,342.1578947368421,587.0,0.0,0.0,1.9866615603257256,823938.6190476193,907.7106472040632,0.9274285714285715,0.9274285714285715,0.9274285714285715,0.0,0.0,0.9787391451666037,False
49799,53,0.001,70,69999.93000007,102,101999.89800010201,511.9999999999999,22.62741699796952,86.0,86.0,70.0,0.0,0.0,0.26310949997333033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
55132,53,0.002,70,34999.98250000875,70,34999.98250000875,0.0,0.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
57509,53,0.002,70,34999.98250000875,102,50999.97450001275,511.9999999999999,22.62741699796952,86.0,86.0,70.0,0.0,0.0,0.26310949997333033,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
64809,53,0.003,70,23333.32555555815,70,23333.32555555815,0.0,0.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
64139,53,0.002,70,34999.98250000875,102,50999.97450001275,511.9999999999999,22.62741699796952,86.0,86.0,70.0,0.0,0.0,0.26310949997333033,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
58633,443,0.065,3116,47938.460800946756,8052,123876.92117112428,229606.8103448276,479.17304843326446,385.1034482758621,385.1034482758621,207.7333333333334,0.0,0.0,1.2442709889441785,33.189153439153436,5.761002815409261,2.321428571428572,2.321428571428572,3.7142857142857135,0.0,0.0,2.4816627501841957,68.5897435897436,8.281892512568827,0.004384615384615384,0.004384615384615384,0.004384615384615384,0.0,0.0,1.8888526778743804,True
61468,443,0.064,4420,69062.49892089845,8052,125812.49803417972,249835.02988505748,499.8350026609356,415.7333333333332,415.7333333333332,276.25,0.0,0.0,1.202297152003849,33.24137931034482,5.7655337402832725,2.2068965517241383,2.2068965517241383,3.8000000000000007,0.0,0.0,2.6125074748820647,82.89743589743591,9.10480290272315,0.004307692307692308,0.004307692307692308,0.004307692307692308,0.0,0.0,2.1136149590700706,True
55577,443,0.056,2864,51142.85622959185,6695,119553.56929368626,229032.15810276684,478.5730436440887,415.60869565217394,415.60869565217394,260.3636363636364,0.0,0.0,1.1514991111818764,38.92640692640693,6.239103054639099,2.545454545454545,2.545454545454545,4.9,0.0,0.0,2.4510761990738663,87.47272727272724,9.35268556473098,0.004454545454545455,0.004454545454545455,0.004454545454545455,0.0,0.0,2.0995824732437827,True
27036,27036,2.812,213,75.74679940407297,217,77.16927451025275,8.000000000000002,2.8284271247461903,215.0,215.0,213.0,0.0,0.0,0.013155474998758302,0.0,0.0,2812.0,2812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
57400,443,0.047,764,16255.318803078324,1430,30425.53126754189,65642.78571428571,256.20848095698494,274.25,274.25,191.0,0.0,0.0,0.9342150627385624,45.571428571428584,6.750661343263235,6.714285714285715,6.714285714285715,15.666666666666668,0.0,0.0,1.0054176467192493,120.33333333333331,10.969655114602888,0.012333333333333333,0.012333333333333333,0.012333333333333333,0.0,0.0,0.8894314957064965,True
27036,27036,0.0,211,211000000000.0,0,0.0,0.0,0.0,211.0,211.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
51500,443,9.756,11433,1171.894218822069,25616,2625.6662563934333,38336.88357003622,195.79806835113624,194.99473684210523,194.99473684210523,139.42682926829266,0.0,0.0,1.004119759953713,67354.37537993921,259.52721510458053,51.61904761904764,51.61904761904764,120.33333333333331,0.0,0.0,5.027741251928604,118869.41385998936,344.7744391047419,0.09110280373831776,0.09110280373831776,0.09110280373831776,0.0,0.0,3.7844547582891304,True
56094,443,0.836,3152,3770.3349237196953,3755,4491.626788885615,172460.40316205533,415.2835214188679,300.304347826087,300.304347826087,242.4615384615384,0.0,0.0,1.3828754875636535,4882.571428571428,69.87539930885139,38.0,38.0,61.66666666666668,0.0,0.0,1.8388262975529623,8087.25,89.92913877047862,0.07133333333333333,0.07133333333333333,0.07133333333333333,0.0,0.0,1.2606888612507186,True
51706,443,1.838,8954,4871.599562093797,152056,82729.05327381444,320435.15363099554,566.0699193836355,817.3096446700506,817.3096446700506,175.56862745098036,0.0,0.0,0.6926015410126065,7930.7387755102,89.05469541529071,9.377551020408164,9.377551020408164,36.55999999999999,0.0,0.0,9.496583405623312,10822.665900383146,104.03204266178352,0.01262758620689655,0.01262758620689655,0.01262758620689655,0.0,0.0,8.238474158800674,True
58297,443,0.185,3390,18324.324225273922,8728,47178.37812336012,291728.25362318836,540.1187402999348,504.9166666666665,504.9166666666665,242.1428571428571,0.0,0.0,1.0697185812157752,312.4071146245058,17.675042139256863,8.043478260869566,8.043478260869566,10.846153846153843,0.0,0.0,2.197437671093874,557.6944444444445,23.615555137333622,0.01577777777777778,0.01577777777777778,0.01577777777777778,0.0,0.0,1.4967605367783925,True
